datetimestart,datetimestop,provider,server,distance,ping,download,upload
2017-10-13 23:30:01,2017-10-13 23:30:29,Telstra Internet,Internode (Brisbane),5.31,19.176,32.37,1.11
2017-10-14 00:30:01,2017-10-14 00:30:39,Telstra Internet,Internode (Brisbane),5.31,16.438,28.53,1.12
2017-10-14 01:00:01,2017-10-14 01:00:39,Telstra Internet,Telstra (Brisbane),5.31,14.102,33.92,1.15
2017-10-14 01:30:01,2017-10-14 01:30:25,Telstra Internet,Telstra (Brisbane),5.31,16.754,34.32,1.36
2017-10-14 02:30:01,2017-10-14 02:30:34,Telstra Internet,Foxtel Broadband (Brisbane),5.31,16.477,34.47,1.21
2017-10-14 03:00:01,2017-10-14 03:00:28,Telstra Internet,Internode (Brisbane),5.31,19.154,31.42,1.2
2017-10-14 03:30:01,2017-10-14 03:30:31,Telstra Internet,AARNet (Brisbane),5.31,14.687,34.76,1.49
2017-10-14 04:30:01,2017-10-14 04:30:36,Telstra Internet,Foxtel Broadband (Brisbane),5.31,15.223,29.42,1.41
2017-10-14 05:00:01,2017-10-14 05:00:30,Telstra Internet,AARNet (Brisbane),5.31,15.808,35.57,1.64
2017-10-14 05:30:01,2017-10-14 05:30:30,Telstra Internet,'Yes' Optus (Brisbane),5.31,15.512,35.07,0.96
2017-10-14 06:30:01,2017-10-14 06:30:28,Telstra Internet,Foxtel Broadband (Brisbane),5.31,15.361,27.1,1.19
2017-10-14 07:00:01,2017-10-14 07:00:25,Telstra Internet,'Yes' Optus (Brisbane),5.31,15.03,34.7,1.26
2017-10-14 07:30:01,2017-10-14 07:30:41,Telstra Internet,Foxtel Broadband (Brisbane),5.31,17.82,33.56,0.91
2017-10-14 09:00:01,2017-10-14 09:00:29,Telstra Internet,Foxtel Broadband (Brisbane),5.31,16.324,31.58,1.13
2017-10-14 09:30:01,2017-10-14 09:30:26,Telstra Internet,Telstra (Brisbane),5.31,17.317,34.82,1.23
2017-10-14 10:30:01,2017-10-14 10:30:26,Telstra Internet,Telstra (Brisbane),5.31,17.81,34.39,1.31
2017-10-14 11:00:01,2017-10-14 11:00:39,Telstra Internet,Foxtel Broadband (Brisbane),5.31,16.549,31.01,0.92
2017-10-14 11:30:01,2017-10-14 11:30:26,Telstra Internet,Telstra (Brisbane),5.31,16.234,35.15,1.22
2017-10-14 12:00:01,2017-10-14 12:00:29,Telstra Internet,Foxtel Broadband (Brisbane),5.31,15.187,31.4,1.22
2017-10-14 12:30:01,2017-10-14 12:30:30,Telstra Internet,Foxtel Broadband (Brisbane),5.31,17.57,26.09,1.16
2017-10-14 13:30:01,2017-10-14 13:30:38,Telstra Internet,Foxtel Broadband (Brisbane),5.31,16.596,28.5,1.02
2017-10-14 14:00:01,2017-10-14 14:00:39,Telstra Internet,AARNet (Brisbane),5.31,17.03,34.77,1.56
2017-10-14 14:30:01,2017-10-14 14:30:28,Telstra Internet,Telstra (Brisbane),5.31,14.611,34.48,1.03
2017-10-14 15:30:01,2017-10-14 15:30:37,Telstra Internet,Telstra (Brisbane),5.31,16.586,31.9,0.95
2017-10-14 17:30:01,2017-10-14 17:30:28,Telstra Internet,Telstra (Brisbane),5.31,17.383,34.49,1.16
2017-10-14 18:00:01,2017-10-14 18:00:28,Telstra Internet,Telstra (Brisbane),5.31,15.7,34.76,1.12
2017-10-14 18:30:01,2017-10-14 18:30:32,Telstra Internet,AARNet (Brisbane),5.31,19.843,28.8,1.48
2017-10-14 19:00:01,2017-10-14 19:00:28,Telstra Internet,Telstra (Brisbane),5.31,16.785,34.64,1.07
2017-10-14 19:30:01,2017-10-14 19:30:32,Telstra Internet,Telstra (Brisbane),5.31,17.054,32.21,0.85
2017-10-14 20:00:01,2017-10-14 20:00:26,Telstra Internet,Foxtel Broadband (Brisbane),5.31,18.686,23.14,1.32
2017-10-14 20:30:01,2017-10-14 20:30:25,Telstra Internet,Telstra (Brisbane),5.31,17.512,31.94,1.34
2017-10-14 21:30:01,2017-10-14 21:30:26,Telstra Internet,'Yes' Optus (Brisbane),5.31,18.582,32.12,1.19
